question,answer
Đôi giày của bạn trông rất đẹp.Bạn đã nhận được chúng với giá bao nhiêu?,Họ chỉ tiêu tốn của tôi khoảng bốn mươi đô la.
Nói cho tôi biết bạn thích làm gì trong thời gian rảnh rỗi?,Tôi thích vẽ và vẽ.
Tôi thích vẽ và vẽ.,Bạn biết làm thế nào để vẽ và sơn?
Bạn biết làm thế nào để vẽ và sơn?,em đồng ý.
em đồng ý.,Bạn học cách làm điều đó khi nào?
Bạn học cách làm điều đó khi nào?,Tôi đã học lại ở trường trung học.
Tôi đã học lại ở trường trung học.,Ồ vậy bạn đã tham gia một lớp học nghệ thuật?
Ồ vậy bạn đã tham gia một lớp học nghệ thuật?,Vâng tôi yêu lớp đó.
Vâng tôi yêu lớp đó.,Tôi thấy rằng bạn khá tài năng.
Tôi thấy rằng bạn khá tài năng.,Cảm ơn rất nhiều.
Cảm ơn rất nhiều.,Tôi ước tôi có một tài năng như thế.
Tôi ước tôi có một tài năng như thế.,Tôi chắc rằng bạn có một tài năng.Nó chỉ ẩn.
Bạn thích làm những việc gì?,Tôi luôn thích vẽ và vẽ.
Tôi luôn thích vẽ và vẽ.,Tôi không biết bạn biết cách vẽ và vẽ.
Tôi không biết bạn biết cách vẽ và vẽ.,Tôi làm điều đó một lần trong một thời gian.
Tôi làm điều đó một lần trong một thời gian.,Bạn đã biết bao lâu để làm điều đó?
Bạn đã biết bao lâu để làm điều đó?,Lần đầu tiên tôi học cách làm điều đó ở trường trung học.
Lần đầu tiên tôi học cách làm điều đó ở trường trung học.,Bạn đã tham gia một số loại lớp nghệ thuật hay gì đó?
Bạn đã tham gia một số loại lớp nghệ thuật hay gì đó?,Đó là lớp học yêu thích của tôi.
Đó là lớp học yêu thích của tôi.,Bạn phải có tài năng.
Bạn phải có tài năng.,Cảm ơn.
Cảm ơn.,Giá như tôi là tài năng.
Giá như tôi là tài năng.,Bạn có một tài năng.Bạn chỉ không biết nó là gì.
Có sở thích nào bạn làm không?,Khi tôi có thời gian đôi khi tôi vẽ và vẽ.
Khi tôi có thời gian đôi khi tôi vẽ và vẽ.,Ồ bạn thực sự làm điều đó?
Ồ bạn thực sự làm điều đó?,Tôi thường xuyên như vậy tôi làm.
Tôi thường xuyên như vậy tôi làm.,Bạn có luôn biết cách vẽ và sơn không?
Bạn có luôn biết cách vẽ và sơn không?,Tôi được dạy ở trường trung học cách vẽ và vẽ.
Tôi được dạy ở trường trung học cách vẽ và vẽ.,Bạn đã có một lớp học nghệ thuật?
Bạn đã có một lớp học nghệ thuật?,Chính xác đó là lớp học yêu thích của tôi.
Chính xác đó là lớp học yêu thích của tôi.,Chà thật tốt khi bạn rất tài năng.
Chà thật tốt khi bạn rất tài năng.,tôi trân trọng điều đó.
tôi trân trọng điều đó.,Tài năng là một điều tuyệt vời tôi ước mình có một.
Bộ phim yêu thích của bạn là gì?,Bộ phim yêu thích của tôi là Superbad.
Bộ phim yêu thích của tôi là Superbad.,Oh sao lại thế?
Oh sao lại thế?,Đó là bộ phim hài hước nhất mà tôi từng xem.
Đó là bộ phim hài hước nhất mà tôi từng xem.,đúng.Đó là một bộ phim rất hài hước.
đúng.Đó là một bộ phim rất hài hước.,Bạn đã nhìn thấy nó trước đây?
Bạn đã nhìn thấy nó trước đây?,Vâng tôi đã xem bộ phim đó vào ngày đầu tiên nó ra rạp.
Vâng tôi đã xem bộ phim đó vào ngày đầu tiên nó ra rạp.,Bạn đã không cười qua toàn bộ bộ phim?tôi đã làm.
Bạn đã không cười qua toàn bộ bộ phim?tôi đã làm.,Tôi cũng vậy.Bộ phim đó đã khiến tôi rơi nước mắt.
Tôi cũng vậy.Bộ phim đó đã khiến tôi rơi nước mắt.,của tôi cũng thế.
của tôi cũng thế.,Tôi có nó trên DVD tại nhà của tôi nếu bạn muốn đến và xem nó.
Tôi có nó trên DVD tại nhà của tôi nếu bạn muốn đến và xem nó.,Chắc chắn chúng ta hãy đi.
Bạn thích xem bộ phim nào để xem?,Tôi phải nói rằng bộ phim yêu thích của tôi là Superbad.
Tôi phải nói rằng bộ phim yêu thích của tôi là Superbad.,Có đúng không?Tại sao?
Có đúng không?Tại sao?,Thành thật mà nói đó là một trong những bộ phim hài hước nhất mà tôi từng xem trong một thời gian dài.
Thành thật mà nói đó là một trong những bộ phim hài hước nhất mà tôi từng xem trong một thời gian dài.,bạn đúng.Bộ phim đó rất vui nhộn.
bạn đúng.Bộ phim đó rất vui nhộn.,Tôi không nghĩ rằng bạn đã xem bộ phim đó.
Tôi không nghĩ rằng bạn đã xem bộ phim đó.,Tôi đã đi xem nó vào ngày nó ra mắt.
Tôi đã đi xem nó vào ngày nó ra mắt.,Tôi đã cười qua toàn bộ bộ phim.
Tôi đã cười qua toàn bộ bộ phim.,Tôi cũng không thể cười.
Tôi cũng không thể cười.,Tương tự ở đây.
Tương tự ở đây.,Tôi đã mua bộ phim.Bạn có muốn đến nhà tôi và xem nó không?
Tôi đã mua bộ phim.Bạn có muốn đến nhà tôi và xem nó không?,tất nhiên rồi.
Trong số mọi bộ phim mà bạn đã xem bộ phim nào là yêu thích của bạn?,Tôi sẽ phải nói rằng Superbad là bộ phim hay nhất từ trước đến nay.
Tôi sẽ phải nói rằng Superbad là bộ phim hay nhất từ trước đến nay.,Bạn nghĩ như vậy sao?
Bạn nghĩ như vậy sao?,Chà Superbad là siêu hài hước.
Chà Superbad là siêu hài hước.,Bạn không nói dối tôi thấy bộ phim đó hoàn toàn vui nhộn.
Bạn không nói dối tôi thấy bộ phim đó hoàn toàn vui nhộn.,Tôi không biết rằng bạn đã thấy Superbad trước đây.
Tôi không biết rằng bạn đã thấy Superbad trước đây.,Tôi chắc chắn sẽ xếp hàng để xem nó vào ngày đầu tiên nó ra mắt.
Tôi chắc chắn sẽ xếp hàng để xem nó vào ngày đầu tiên nó ra mắt.,Tôi không thể không cười trong toàn bộ bộ phim.
Tôi không thể không cười trong toàn bộ bộ phim.,Tôi đã cười một cách cuồng loạn suốt thời gian;Sau đó cơ bụng tôi đau.
Tôi đã cười một cách cuồng loạn suốt thời gian , Sau đó cơ bụng tôi đau.Đó chính xác là cảm giác của tôi.
Đó chính xác là cảm giác của tôi.,Tôi đã nhận được bộ phim khi nó phát hành trên DVD bạn có muốn đến không?
Bạn thích nghe loại nhạc nào?,Tôi thích nghe các loại nhạc khác nhau.
Tôi thích nghe các loại nhạc khác nhau.,Giống như những gì ví dụ?
Giống như những gì ví dụ?,Tôi thích rock và R & B.
Tôi thích rock và R & B.,tại sao vậy?
tại sao vậy?,Tôi thích các công cụ khác nhau mà họ sử dụng.
Tôi thích các công cụ khác nhau mà họ sử dụng.,Đó là một lý do chính đáng để thích một cái gì đó.
Đó là một lý do chính đáng để thích một cái gì đó.,Vâng tôi cũng nghĩ vậy.
Bạn thích nghe loại nhạc nào?,Tôi thích nghe tất cả các loại nhạc.
Tôi thích nghe tất cả các loại nhạc.,loại nào?
loại nào?,Tôi thích nghe nhạc rock và r & b.
Tôi thích nghe nhạc rock và r & b.,Tại sao bạn thích loại nhạc đó?
Tại sao bạn thích loại nhạc đó?,Tôi thích các loại nhạc cụ mà họ sử dụng.
Tôi thích các loại nhạc cụ mà họ sử dụng.,Tôi nghĩ đó là một lý do tuyệt vời để thích một cái gì đó.
Tôi nghĩ đó là một lý do tuyệt vời để thích một cái gì đó.,Cảm ơn tôi cũng cảm thấy như vậy.
Thể loại nhạc yêu thích của bạn là gì?,Tôi nghe các loại nhạc khác nhau.
Tôi nghe các loại nhạc khác nhau.,Những thể loại nào?
Những thể loại nào?,Tôi thích nghe cả Rock và R & B.
Tôi thích nghe cả Rock và R & B.,Điều gì bạn quan tâm trong loại nhạc đó?
Điều gì bạn quan tâm trong loại nhạc đó?,Tôi thích các loại nhạc cụ khác nhau mà họ sử dụng.
Tôi thích các loại nhạc cụ khác nhau mà họ sử dụng.,Đó là một lý do hoàn hảo để thích một loại nhạc nhất định.
Bạn đã đi đến trò chơi bóng rổ vào thứ Sáu?,Không tôi không thể làm được.
Không tôi không thể làm được.,Bạn đã bỏ lỡ một trò chơi thực sự tốt.
Bạn đã bỏ lỡ một trò chơi thực sự tốt.,ồ vậy ư?người chiến thắng?
ồ vậy ư?người chiến thắng?,Trường học của chúng tôi đã làm.Họ đã chơi thực sự tốt.
Trường học của chúng tôi đã làm.Họ đã chơi thực sự tốt.,Thật tệ là tôi đã bận.Tôi thực sự muốn đi.
Thật tệ là tôi đã bận.Tôi thực sự muốn đi.,Vâng bạn nên có.nó đã thực sự thú vị.
Vâng bạn nên có.nó đã thực sự thú vị.,vậy tỉ số là gì?
vậy tỉ số là gì?,Điểm số là 101-98.
Điểm số là 101-98.,Man đó là một trò chơi thực sự gần gũi.
Man đó là một trò chơi thực sự gần gũi.,Đó là những gì làm cho nó rất tuyệt vời.
Đó là những gì làm cho nó rất tuyệt vời.,Tôi sẽ đảm bảo và làm cho nó tiếp theo.
Bạn có thể tham dự trận bóng rổ tối thứ Sáu không?,Tôi đã không thể làm được.
Tôi đã không thể làm được.,Bạn cần phải có được ở đó.nó đã dữ dội.
Bạn cần phải có được ở đó.nó đã dữ dội.,Có đúng không.Ai đã kết thúc chiến thắng?
Có đúng không.Ai đã kết thúc chiến thắng?,Đội của chúng tôi đã chiến thắng.
Đội của chúng tôi đã chiến thắng.,Tôi ước tôi được tự do vào đêm đó.Tôi phát điên vì tôi đã không đi.
Tôi ước tôi được tự do vào đêm đó.Tôi phát điên vì tôi đã không đi.,Đó là một trò chơi tuyệt vời.
Đó là một trò chơi tuyệt vời.,Điểm số ở cuối trò chơi là bao nhiêu?
Điểm số ở cuối trò chơi là bao nhiêu?,Đội của chúng tôi đã giành được 101-98.
Đội của chúng tôi đã giành được 101-98.,Có vẻ như đó là một trò chơi gần gũi.
Có vẻ như đó là một trò chơi gần gũi.,Đó là lý do nó là một trò chơi tuyệt vời.
Đó là lý do nó là một trò chơi tuyệt vời.,Trò chơi tiếp theo tôi chắc chắn sẽ ở đó.
Tôi có ý định hỏi bạn nếu bạn thấy trận bóng rổ vào thứ Sáu.,Tôi muốn đi nhưng tôi không thể.
Tôi muốn đi nhưng tôi không thể.,Đó là một trò chơi tuyệt vời.
Đó là một trò chơi tuyệt vời.,Thật tệ khi tôi không thể làm được.người chiến thắng?
Thật tệ khi tôi không thể làm được.người chiến thắng?,Đội của chúng tôi đã chơi hết mình và giành chiến thắng.
Đội của chúng tôi đã chơi hết mình và giành chiến thắng.,Tôi thực sự ước tôi đi chơi.
Tôi thực sự ước tôi đi chơi.,Đó là trò chơi hay nhất từ trước đến nay.
Đó là trò chơi hay nhất từ trước đến nay.,Vì vậy hãy cho tôi biết điểm số cuối cùng.
Vì vậy hãy cho tôi biết điểm số cuối cùng.,Đội khác mất ba điểm 101-98.
Đội khác mất ba điểm 101-98.,Nó phải là một trò chơi gần gũi.
Nó phải là một trò chơi gần gũi.,Nó thực sự là.Bạn nên đi.
Bạn đang làm gì cuối tuần này?,Tôi sẽ đi xem phim với một người bạn.Còn bạn thì sao?
Tôi sẽ đi xem phim với một người bạn.Còn bạn thì sao?,Tôi chưa chắc.
Tôi chưa chắc.,Chà bạn có muốn đi xem phim với tôi không?
Chà bạn có muốn đi xem phim với tôi không?,Bạn sẽ xem bộ phim nào?
Bạn sẽ xem bộ phim nào?,Tôi chưa chắc.Có thứ gì bạn muốn xem không?
Tôi chưa chắc.Có thứ gì bạn muốn xem không?,Không có gì tôi có thể nghĩ ra.
Không có gì tôi có thể nghĩ ra.,Vậy bạn có muốn đi không?
Vậy bạn có muốn đi không?,Không cảm ơn có thể là một thời gian khác.
Không cảm ơn có thể là một thời gian khác.,Được rồi nghe có vẻ tốt.
Bạn có biết bạn sẽ làm gì vào cuối tuần này không?,Tôi sẽ xem một bộ phim với một người bạn của tôi.còn bạn thì sao?
Tôi sẽ xem một bộ phim với một người bạn của tôi.còn bạn thì sao?,Tôi không biết.
Tôi không biết.,Bạn có muốn xem một bộ phim với tôi và bạn của tôi không?
Bạn có muốn xem một bộ phim với tôi và bạn của tôi không?,Bạn có biết bạn sẽ xem bộ phim nào không?
Bạn có biết bạn sẽ xem bộ phim nào không?,Tôi không biết nhưng có một bộ phim nào bạn muốn xem không?
Tôi không biết nhưng có một bộ phim nào bạn muốn xem không?,Không ai mà tôi có thể nghĩ đến.
Không ai mà tôi có thể nghĩ đến.,Vâng bạn có muốn đi không?
Vâng bạn có muốn đi không?,Cảm ơn bạn đã mời tôi nhưng tôi nghĩ tôi sẽ vượt qua.
Cảm ơn bạn đã mời tôi nhưng tôi nghĩ tôi sẽ vượt qua.,Được rồi.lần khác sau đó.
Bạn có bất kỳ ý tưởng về những gì bạn muốn làm vào cuối tuần này?,Tôi sẽ đến rạp chiếu phim với bạn của tôi.bạn định làm gì?
Tôi sẽ đến rạp chiếu phim với bạn của tôi.bạn định làm gì?,Tôi chưa hoàn toàn chắc chắn.
Tôi chưa hoàn toàn chắc chắn.,Làm thế nào về bạn xem một bộ phim với tôi và bạn của tôi?
Làm thế nào về bạn xem một bộ phim với tôi và bạn của tôi?,Bạn và bạn của bạn dự định xem phim nào?
Bạn và bạn của bạn dự định xem phim nào?,không chắc.Có một bộ phim nào bắt mắt bạn?
